,row.customer_id,row.review_id,row.product_id,row.product_title,row.star_rating,row.review_headline,row.review_body,pipeline score,VADER score
0,12039526,RTIS3L2M1F5SM,B001CXYMFS,Thrustmaster T-Flight Hotas X Flight Stick,5,an amazing joystick. I especially love that you can twist ...,"Used this for Elite Dangerous on my mac, an amazing joystick. I especially love that you can twist the stick for different movement bindings as well as move it in the normal way.",POSITIVE,POSITIVE
1,9636577,R1ZV7R40OLHKD,B00M920ND6,Tonsee 6 buttons Wireless Optical Silent Gaming Mouse For PC Laptop Gamer Red,5,Definitely a silent mouse... Not a single click was heard,"Loved it,  I didn't even realise it was a gaming mouse,  I typed in &#34;silent mouse&#34; and selected this one. It is perfect and looks pretty cool as well. Now my boyfriend's gaming is wonderfully comfortably silent :) . Think I might just get one for myself.",POSITIVE,POSITIVE
2,2331478,R3BH071QLH8QMC,B0029CSOD2,Hidden Mysteries: Titanic Secrets of the Fateful Voyage,1,One Star,poor quality work and not as it is advertised.,NEGATIVE,NEGATIVE
3,52495923,R127K9NTSXA2YH,B00GOOSV98,GelTabz Performance Thumb Grips - PlayStation 4 and PlayStation 3,3,"good, but could be bettee","nice, but tend to slip away from stick in intense (hard pressed) gaming sessions.",NEGATIVE,POSITIVE
4,14533949,R32ZWUXDJPW27Q,B00Y074JOM,Zero Suit Samus amiibo - Japan Import (Super Smash Bros Series),4,Great but flawed.,"Great amiibo, great for collecting. Quality material to be desired, since its not perfect.",POSITIVE,POSITIVE
5,2377552,R3AQQ4YUKJWBA6,B002UBI6W6,Psyclone Recharge Station for Nintendo Wii 4 Port With 4 Batteries,1,One Star,The remote constantly have to be adjusted in order to charge.,NEGATIVE,NEUTRAL
6,17521011,R2F0POU5K6F73F,B008XHCLFO,Protection for your 3DS XL,5,A Must,"I have a 2012-2013 XL and this is very durable, comfortable, and really cool looking.",POSITIVE,POSITIVE
7,19676307,R3VNR804HYSMR6,B00BRA9R6A,Nerf 3DS XL Armor,5,Five Stars,"Perfect, kids loved them. Great protection for their technology.",POSITIVE,POSITIVE
8,224068,R3GZTM72WA2QH,B009EPWJLA,One Piece: Pirate Warriors / Kaizoku Musou PS3 Game (Japanese Voice & English subtitle) [Region Free International Edition],5,Five Stars,Excelent,POSITIVE,NEUTRAL
9,48467989,RNQOY62705W1K,B0000AV7GB,Playstation 2 Dance Pad Revolution 2,4,Four Stars,Slippery but expected,NEGATIVE,NEUTRAL
10,106569,R1VTIA3JTYBY02,B00008KTNN,Metal Arms: Glitch In The System,5,Five Stars,Love the game. Seller hasn't released Amy info on my shipping  progress,POSITIVE,POSITIVE
